"CONFIGURED_PUBLIC_NOTICE_ID","IS_ACTIVE","COURT_ROOM_ID","PUBLIC_NOTICE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
9479,"0",8125,809,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9480,"0",8125,810,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
10010,"0",990,549,25-APR-12 14:07:25,25-APR-12 14:07:25,"XHIBIT","XHIBIT",1
10011,"0",990,550,25-APR-12 14:07:25,25-APR-12 14:07:25,"XHIBIT","XHIBIT",1
9772,"0",165,111,24-APR-12 10:04:47,24-APR-12 10:04:47,"XHIBIT","XHIBIT",1
9773,"0",165,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9774,"0",165,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9775,"0",165,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9776,"0",165,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9777,"0",165,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9778,"0",165,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9779,"0",165,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9780,"0",165,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9781,"0",165,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9782,"0",166,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9783,"0",166,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9784,"0",166,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9785,"0",166,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9786,"0",166,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9787,"0",166,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9788,"0",166,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9789,"0",166,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9790,"0",166,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9791,"0",166,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9792,"0",167,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9793,"0",167,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9794,"0",167,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9795,"0",167,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9796,"0",167,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9797,"0",167,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9798,"0",167,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9799,"0",167,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9800,"0",167,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9801,"0",167,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9802,"0",168,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9803,"0",168,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9804,"0",168,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9805,"0",168,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9806,"0",168,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9807,"0",168,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9808,"0",168,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9809,"0",168,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9810,"0",168,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9811,"0",168,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9812,"0",169,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9813,"0",169,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9814,"0",169,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9815,"0",169,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9816,"0",169,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9817,"0",169,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9818,"0",169,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9819,"0",169,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9820,"0",169,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9821,"0",169,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9822,"0",170,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9823,"0",170,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9824,"0",170,113,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9825,"0",170,114,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9826,"0",170,115,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9827,"0",170,116,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9828,"0",170,117,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9829,"0",170,118,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9830,"0",170,119,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9831,"0",170,120,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9832,"0",171,111,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9833,"0",171,112,24-APR-12 10:04:48,24-APR-12 10:04:48,"XHIBIT","XHIBIT",1
9834,"0",171,113,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9835,"0",171,114,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9836,"0",171,115,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9837,"0",171,116,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9838,"0",171,117,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9839,"0",171,118,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9840,"0",171,119,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9841,"0",171,120,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9842,"0",172,111,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9843,"0",172,112,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9844,"0",172,113,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9845,"0",172,114,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9846,"0",172,115,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9847,"0",172,116,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9848,"0",172,117,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9849,"0",172,118,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9850,"0",172,119,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9851,"0",172,120,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9852,"0",173,111,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9853,"0",173,112,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9854,"0",173,113,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9855,"0",173,114,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9856,"0",173,115,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9857,"0",173,116,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9858,"0",173,117,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9859,"0",173,118,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9860,"0",173,119,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9861,"0",173,120,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9862,"0",174,111,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9863,"0",174,112,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9864,"0",174,113,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9865,"0",174,114,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9866,"0",174,115,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9867,"0",174,116,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9868,"0",174,117,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9869,"0",174,118,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9870,"0",174,119,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9871,"0",174,120,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9872,"0",1555,111,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9873,"0",1555,112,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9874,"0",1555,113,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9875,"0",1555,114,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9876,"0",1555,115,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9877,"0",1555,116,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9878,"0",1555,117,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9879,"0",1555,118,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9880,"0",1555,119,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9881,"0",1555,120,24-APR-12 10:04:49,24-APR-12 10:04:49,"XHIBIT","XHIBIT",1
9481,"0",8126,801,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9482,"0",8126,802,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9483,"0",8126,803,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9484,"0",8126,804,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9485,"0",8126,805,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9486,"0",8126,806,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9487,"0",8126,807,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9488,"0",8126,808,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9489,"0",8126,809,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9490,"0",8126,810,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9491,"0",8127,801,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9492,"0",8127,802,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9493,"0",8127,803,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9494,"0",8127,804,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9495,"0",8127,805,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9496,"0",8127,806,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9497,"0",8127,807,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9498,"0",8127,808,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9499,"0",8127,809,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9500,"0",8127,810,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9501,"0",8128,801,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9502,"0",8128,802,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9503,"0",8128,803,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9504,"0",8128,804,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9505,"0",8128,805,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9506,"0",8128,806,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9507,"0",8128,807,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9508,"0",8128,808,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9509,"0",8128,809,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9510,"0",8128,810,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9511,"0",8129,801,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9512,"0",8129,802,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9513,"0",8129,803,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9514,"0",8129,804,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9515,"0",8129,805,12-MAY-09 15:56:44,12-MAY-09 15:56:44,"XHIBIT","XHIBIT",1
9516,"0",8129,806,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9517,"0",8129,807,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9518,"0",8129,808,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9519,"0",8129,809,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9520,"0",8129,810,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9521,"0",8130,801,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9522,"0",8130,802,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9523,"0",8130,803,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9524,"0",8130,804,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9525,"0",8130,805,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9526,"0",8130,806,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9527,"0",8130,807,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9528,"0",8130,808,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9529,"0",8130,809,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9530,"0",8130,810,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9531,"0",8131,801,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9532,"0",8131,802,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9533,"0",8131,803,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9534,"0",8131,804,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9535,"0",8131,805,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9536,"0",8131,806,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9537,"0",8131,807,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9538,"0",8131,808,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9539,"0",8131,809,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9540,"0",8131,810,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
9541,"0",8132,801,12-MAY-09 15:56:45,12-MAY-09 15:56:45,"XHIBIT","XHIBIT",1
