"COURT_SITE_ID","COURT_SITE_NAME","COURT_SITE_CODE","COURT_ID","ADDRESS_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","OBS_IND","DISPLAY_NAME","CREST_COURT_ID","SHORT_NAME","SITE_GROUP","FLOATER_TEXT","LIST_NAME","TIER"
1606,"SWANSEA","A",80,514101,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","457","S",,"","",""
1607,"CARMARTHEN","B",80,514102,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","756","C",,"","",""
1608,"HAVERFORDWEST","C",80,514103,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","761","H",,"","",""
1609,"THE CRIMINAL COURT, GUILDHALL","D",80,514104,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","457","G",,"","",""
584,"CHICHESTER","A",65,377587,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","416","",,"","",""
517,"NEWCASTLE UPON TYNE","A",61,350830,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","439","NC",,"","",""
518,"MOOT HALL","B",61,350831,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","439","NMH",,"","",""
103,"CAMBRIDGE","A",17,91541,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","410","",,"","",""
249,"STOKE ON TRENT","A",32,170711,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","456","",,"","",""
250,"STAFFORD","A",33,170712,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","455","",,"","",""
319,"TRURO","A",40,209190,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","477","",,"","",""
104,"PETERBOROUGH","A",18,91542,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","473","",,"","",""
686,"WARRINGTON","A",70,421710,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","462","",,"","",""
261,"WORCESTER SHIRE HALL","A",36,183582,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","466","W",,"","",""
262,"HEREFORD","B",36,183583,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","762","H",,"","",""
594,"KINGSTON UPON HULL","A",66,383482,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","403","",,"","",""
1610,"SNARESBROOK","A",81,518973,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","453","",,"","",""
151,"LINCOLN","A",24,120905,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","432","",,"","",""
428,"HARROW","A",52,290310,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","468","",,"","",""
484,"BIRMINGHAM","A",58,330721,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","404","Q",,"","",""
485,"4 NEWTON STREET","D",58,330722,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","404","N",,"","",""
11,"LUTON","A",8,49083,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","476","",,"","",""
12,"ST ALBANS","A",9,49084,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","450","",,"","",""
420,"MIDDLESEX GUILDHALL","A",49,274046,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","464","",,"","",""
439,"INNER LONDON","A",54,303367,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","440","",,"","",""
429,"BLACKFRIARS","A",53,290311,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","428","",,"","",""
595,"GREAT GRIMSBY","A",67,383483,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","425","",,"","",""
903,"MANCHESTER","A",79,478777,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","435","",,"","",""
1113,"WARRINGTON","L",69,495096,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site L","775","WAR",,"","",""
162,"NOTTINGHAM","A",25,129260,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","444","",,"","",""
394,"CROYDON","A",47,259785,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","418","",,"","",""
421,"WOOD GREEN","A",50,274047,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","469","",,"","",""
782,"AYLESBURY","A",78,459031,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","401","",,"","",""
361,"SOUTHWARK","A",44,235688,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","471","",,"","",""
318,"PLYMOUTH","A",39,209189,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","446","",,"","",""
425,"KINGSTON UPON THAMES","A",51,284796,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","427","",,"","",""
502,"WOLVERHAMPTON","A",59,340034,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","421","WV",,"","",""
503,"WEST MIDLANDS COURT CENTRE","B",59,340035,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","421","WF",,"","",""
504,"COVENTRY","A",60,340036,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","417","",,"","",""
5,"DURHAM","A",5,41904,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","422","",,"","",""
75,"BRISTOL","A",12,68598,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","408","",,"","",""
41,"BASILDON","A",10,58282,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","461","Bas",,"","",""
42,"SOUTHEND","B",10,58283,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","772","SOS",,"","",""
380,"WOOLWICH","A",46,244766,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","472","",,"","",""
379,"CROYDON_MOVED","A",45,244765,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","000","",,"","",""
150,"DONCASTER","A",23,120904,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","420","",,"","",""
81,"GLOUCESTER","A",14,73999,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","424","",,"","",""
358,"ISLEWORTH","A",43,225134,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","475","",,"","",""
96,"BURNLEY","A",16,87213,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","409","",,"","",""
477,"MERTHYR TYDFIL","A",57,326118,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","437","",,"","",""
88,"BARROW-IN-FURNESS","C",15,81399,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","751","B",,"","",""
54,"CHELMSFORD","A",11,62938,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","414","",,"","",""
87,"PRESTON","A",15,81398,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","448","R",,"","",""
89,"LANCASTER","D",15,81400,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","768","L",,"","",""
90,"PRESTON [THE SESSIONS HOUSE]","B",15,81401,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","448","S",,"","",""
519,"CARLISLE","A",62,350832,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","412","",,"","",""
132,"LEICESTER","A",21,108964,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","430","",,"","",""
328,"CENTRAL CRIMINAL COURT","A",41,217244,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","413","",,"","",""
615,"DORCHESTER","A",68,395511,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","407","",,"","",""
460,"NEWPORT CROWN COURT","C",55,315276,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","441","N",,"","",""
716,"NEWPORT, ISLE OF WIGHT","A",72,436333,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","478","",,"","",""
459,"CARDIFF","A",55,315275,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","411","C",,"","",""
117,"CANTERBURY","A",19,99616,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","479","",,"","",""
118,"MAIDSTONE","A",20,99617,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","434","",,"","",""
309,"EXETER","A",38,203376,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","423","E",,"","",""
310,"BARNSTAPLE","E",38,203377,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site E","750","B",,"","",""
80,"TAUNTON","A",13,73998,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","459","",,"","",""
702,"NORTHAMPTON","A",71,428892,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","442","",,"","",""
731,"WINCHESTER","A",75,449905,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","465","",,"","",""
642,"CHESTER","A",69,405554,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","415","CHE",,"","",""
643,"MOLD","B",69,405555,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","769","MOL",,"","",""
644,"CAERNARFON","C",69,405556,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","755","CAE",,"","",""
645,"DOLGELLAU","D",69,405557,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","758","DOL",,"","",""
646,"WELSHPOOL","E",69,405558,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site E","774","WEL",,"","",""
647,"KNUTSFORD","F",69,405559,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site F","767","KNU",,"","",""
6,"TEESSIDE","A",6,45157,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","460","",,"","",""
196,"KINGS LYNN","B",27,143340,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","765","K",,"","",""
169,"DERBY","A",26,135175,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","419","",,"","",""
195,"NORWICH","A",27,143339,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","443","N",,"","",""
717,"PORTSMOUTH","A",73,436334,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","447","",,"","",""
1,"SNARESBROOK_MOVED","A",1,1,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","000","",,"","",""
2,"DOCKFORD","A",2,2,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","499","",,"","",""
3,"ISLEWORTH_MOVED","I",3,3,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site I","000","",,"","",""
146,"THE LAW COURTS WEST BAR SHEFFIELD","A",22,115423,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","451","",,"","",""
218,"YORK","A",29,154401,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","467","",,"","",""
219,"BRADFORD","A",30,154402,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","402","",,"","",""
197,"IPSWICH","A",28,143341,22-FEB-17 13:35:22,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"","Court Site A","426","I",,"","",""
198,"BURY ST EDMUNDS","B",28,143342,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","754","B",,"","",""
571,"BOURNEMOUTH CROWN AND COUNTY COURTS","A",63,368269,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","406","",,"","",""
572,"LEWES COMBINED COURT","A",64,368270,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","431","L",,"","",""
573,"HOVE TRIAL CENTRE","B",64,368271,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","431","H",,"","",""
275,"LIVERPOOL","A",37,193107,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","433","",,"","",""
227,"LEEDS","A",31,163191,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","429","",,"","",""
357,"GUILDFORD","A",42,225133,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","474","",,"","",""
251,"SHREWSBURY","A",34,170713,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","452","",,"","",""
260,"WARWICK","A",35,183581,22-FEB-17 13:35:10,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"","Court Site A","463","",,"","",""
403,"KINGSTON UPON THAMES_MOVED","A",48,266176,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","000","",,"","",""
780,"READING","A",76,459029,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","449","",,"","",""
724,"SOUTHAMPTON","A",74,444953,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","454","",,"","",""
461,"SWANSEA_MOVED","A",56,315277,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","000","S",,"","",""
462,"CARMARTHEN_MOVED","B",56,315278,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","000","C",,"","",""
463,"HAVERFORDWEST_MOVED","C",56,315279,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","000","H",,"","",""
464,"THE CRIMINAL COURT, GUILDHALL_MOVED","D",56,315280,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","000","G",,"","",""
781,"OXFORD","A",77,459030,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","445","",,"","",""
